state_abbr,state_name,total_employment,manufacturing,mining,agriculture,combined,combined_pct,mfg_pct,mining_pct,ag_pct
AK,Alaska,329.2,12.0,12.4,1.6,25.9,7.9,3.6,3.8,0.5
AL,Alabama,2105.7,285.2,6.0,11.5,302.7,14.4,13.5,0.3,0.5
AR,Arkansas,1295.6,162.0,3.5,11.8,177.3,13.7,12.5,0.3,0.9
AZ,Arizona,3222.4,194.0,14.7,22.4,231.0,7.2,6.0,0.5,0.7
CA,California,18183.7,1247.6,16.5,411.0,1675.1,9.2,6.9,0.1,2.3
CO,Colorado,2897.9,148.9,21.7,17.6,188.1,6.5,5.1,0.7,0.6
CT,Connecticut,1683.4,155.8,0.5,5.3,161.6,9.6,9.3,0.0,0.3
DE,Delaware,477.3,26.7,0.0,0.0,26.7,5.6,5.6,0.0,0.0
FL,Florida,9836.5,427.5,4.2,61.3,493.1,5.0,4.3,0.0,0.6
GA,Georgia,4862.0,426.8,5.9,22.9,455.6,9.4,8.8,0.1,0.5
HI,Hawaii,639.8,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0
IA,Iowa,1562.6,222.3,2.2,21.0,245.5,15.7,14.2,0.1,1.3
ID,Idaho,858.5,74.6,3.1,24.8,102.5,11.9,8.7,0.4,2.9
IL,Illinois,6043.4,578.4,7.1,19.5,604.9,10.0,9.6,0.1,0.3
IN,Indiana,3179.5,523.1,5.2,16.6,545.0,17.1,16.5,0.2,0.5
KS,Kansas,1429.4,174.5,6.2,13.0,193.7,13.6,12.2,0.4,0.9
KY,Kentucky,1988.3,257.7,7.9,9.1,274.6,13.8,13.0,0.4,0.5
LA,Louisiana,1920.4,140.6,27.5,7.9,176.0,9.2,7.3,1.4,0.4
MA,Massachusetts,3644.8,231.2,1.0,12.8,244.9,6.7,6.3,0.0,0.4
MD,Maryland,2768.5,113.0,1.4,6.1,120.6,4.4,4.1,0.1,0.2
ME,Maine,648.9,51.8,0.3,8.7,60.8,9.4,8.0,0.0,1.3
MI,Michigan,4407.3,600.8,5.5,35.8,642.0,14.6,13.6,0.1,0.8
MN,Minnesota,2932.4,320.3,5.8,23.4,349.5,11.9,10.9,0.2,0.8
MO,Missouri,2898.2,284.9,4.3,15.3,304.4,10.5,9.8,0.1,0.5
MS,Mississippi,1167.7,141.4,3.2,11.0,155.6,13.3,12.1,0.3,0.9
MT,Montana,512.8,21.4,6.0,6.9,34.4,6.7,4.2,1.2,1.4
NC,North Carolina,4901.2,465.1,3.7,24.7,493.5,10.1,9.5,0.1,0.5
ND,North Dakota,428.7,28.2,18.2,4.9,51.4,12.0,6.6,4.2,1.2
NE,Nebraska,1018.8,104.4,1.0,15.7,121.0,11.9,10.2,0.1,1.5
NH,New Hampshire,688.0,68.5,0.5,2.2,71.2,10.3,10.0,0.1,0.3
NJ,New Jersey,4252.2,253.0,1.5,11.9,266.4,6.3,5.9,0.0,0.3
NM,New Mexico,870.0,28.7,23.7,9.1,61.5,7.1,3.3,2.7,1.0
NV,Nevada,1551.4,66.4,14.6,5.3,86.2,5.6,4.3,0.9,0.3
NY,New York,9705.8,411.2,4.9,29.4,445.5,4.6,4.2,0.1,0.3
OH,Ohio,5520.7,682.2,8.7,19.6,710.5,12.9,12.4,0.2,0.4
OK,Oklahoma,1692.5,140.8,30.3,9.8,180.9,10.7,8.3,1.8,0.6
OR,Oregon,1994.2,186.0,1.9,52.9,240.8,12.1,9.3,0.1,2.7
PA,Pennsylvania,6019.8,563.0,20.9,27.9,611.7,10.2,9.4,0.3,0.5
RI,Rhode Island,495.2,39.9,0.0,0.0,39.9,8.0,8.0,0.0,0.0
SC,South Carolina,2284.6,263.7,2.3,9.8,275.9,12.1,11.5,0.1,0.4
SD,South Dakota,458.6,45.1,1.2,7.3,53.6,11.7,9.8,0.3,1.6
TN,Tennessee,3270.8,362.4,3.7,8.4,374.5,11.5,11.1,0.1,0.3
TX,Texas,13936.4,973.7,217.0,60.1,1250.8,9.0,7.0,1.6,0.4
UT,Utah,1714.0,152.1,11.3,6.0,169.4,9.9,8.9,0.7,0.4
VA,Virginia,4106.1,242.3,5.6,12.9,260.9,6.4,5.9,0.1,0.3
VT,Vermont,309.1,27.4,0.6,3.6,31.7,10.2,8.9,0.2,1.2
WA,Washington,3594.4,271.1,2.1,93.9,367.0,10.2,7.5,0.1,2.6
WI,Wisconsin,2944.3,465.6,3.4,29.2,498.2,16.9,15.8,0.1,1.0
WV,West Virginia,695.7,46.0,20.6,1.7,68.4,9.8,6.6,3.0,0.2
WY,Wyoming,282.2,10.4,16.1,2.8,29.3,10.4,3.7,5.7,1.0
